puuid,accountId,summonerId,summonerName,leaguePoints
a0d0TDLgUtp5Nfwwgf9n4qNMPq5ggRl0jMFsWGhkc0GnpfyGw0bsJvWIIx2RLgEwIKm0GGTgFaKSvw,KZai9XGb1BQPeErKsitlu_ctQeBdVuO-plAPVFf8xzrYjA,WwksQWZLJqqMQsDYsvqlmtQEZbKSI8Be7xIJUckXuI4kugE,Agurin,1695
C0_iaS6IJpZnSQh3zW3rJm7tkKNoU9kIFBA9sfnbsIy5oSxE7S4SKkjs7DS7bhFEzj4VI3ye0ek_uw,KY8d8usIyzjse33HU7T-Poli9YIJCmsi2MiI6qhgwcopMcbYL1ywTc2K,5DPaX3_g2z--u7PFYQGcauF-o7m33gakK9XL8n_Yvhr884RG,Mountain Wolf,1590
MU7fd4S4QRlypZHbg9a_yPljISKLrQJN952OkCNJDzM-tuTcY6B55DygA8eODS5bO7s6hli2toScNQ,BYJwoCTsx0lJNB3LXdXG-i_-K_KJ1oxaDa1pmBco5ndg8Q,5Cj6ucQRukpJ7JhbQe4Gkhb4Q62PyCFMvTrY3I0tk4zVTH8,Razørk Activoo,1519
Si3CPooYoDaUNXcU3aRXpOdrfs09jEQ-HJVb1k2Mb1daUb-Wom7uILbJn6zIAPBolVFcAwUJX1Xyvg,YSRqkjYXXeJeSg1ADASWrepTlkm5Mefhi2H70TCxedrzMJN5F_ZpZqtN,Fq3iBTjp-xF9qALCrYnj7jsH5DAiufoA6YaeShogYToqoMhZ,SPKTRA,1458
I-s9u2FawBbwvoiK_P6XBbgv9cAJxMK6KGHCX6f5MQXlYOmh40W8QxF55W0kEtgorDf4d1-XQT-Q8g,oo8TcpbvM6TB-kDV23aQMRxTEUQK4FDd7XvAlKPbQwJmLRS6I5DPA0h3,kPlyKCf_k-cYSNmSj_2JsSVSzeuz1jFFoUitiAeIc3KUTQCm,Built,1450
o90ICf7YP_THP4zbxJZ1AeUfjEOiLfdGiEg7ult4iwNehIqua1zYhrfIrzHf-A4it2JU64Na68QgVA,bcsdcSIb2n4HGvcleTnO5nrILS-bEIBtrnc72G7eWO5Sp7UrehMMMde5,OKr7BFUKmLU1vXhKl0lupjRrwz-Qb-u589DrHizKovYGj9Wc,FEB1VEN,1421
a8X-PI1u9VVhh-bmrKa8XfxP1wQq3k9fn7VHrqOGCamwlidABKcC2OaS_YTP1Cm8v8RVkYEtPbUjLQ,zR2FrPOjsiI7HQFyG0bAqKlOHBCWnRhRZgZzM_6rwOLtNKwOdeoOhbtB,J6LO3j86m8Uq5EGoFc3Lj9TsuL8JB8VGDmUUX4US4vBUo_loRPKN1pwOyg,DEMONHUMAN,1420
Mw8wSVKPgFCcKqV-E1utStRyDr3wDQIQFxrXbj3rRNmqB3rhE64DNJVpfO5ntpLANXpNw-tZqRN_XQ,LcKESBrv5-o933QoLcw6BIuTAcywvyhAB1nkAH6CHbcWv0Xu1pX2i0tH,-E5AWtW7naKIMYjxKbiYvJv1ihvMT19TivNm0rVCAwjqtOIjLgWOmYghOA,zyb,1417
v909vQqcIlytT1d28-rL1VdUYC8eQblmI1IerDEgBug6RfIkCtVSnFSX3krA0SFH1JlwvVI_cpa9iQ,PeN6xG7kMPyrYxzTasHnIcFMk1k-_dBhUie-OzFHveRgJA,9_uN_fEAemY79z4H0jWk7wgT6STXjaPT0lBToY-W9tFmGn4,MagiFelix5,1408
rdXNW4gcDsTA9Ri1hcouo5JJ-esXeg9EMAdTl9NhINltW1BH6nTmpwSNvIikECJOoGWrG-zpruRPmw,Ar5wlhBxIeGqAr0ans1r-Xrl_Ob9Mjg_4s-TWGVGILLEWcg,ZXMEm7bb47ZU2fx8959SgPAzOq1QVZIiKdNFZ_2XSMERxpQ,LEC ZYZZ,1399
sfF7PahA0ZocjDMJ4N9YV-k7ew6N6HEyn7Ceq7NAA0GkJJvnw804ouZp8oAn_J_y-mq01Ut6sNhJuQ,OOv-HpOJ-B7sjXhU8uP6X4KAdEQKIVWmQp0s8MDQULyo59c,ZIjHqi8qvCbOj__OTkYR_7BWWW410jlzCRhs5RP6JXd7ZDs,Yoichi Išagi,1394
